Elapsed Time (min),Date,Voltage (V),R_therm (Ohms),Temp_SH (K),Temp_SH (F),Temp_SH (C),Temp_Beta (K),Temp_Beta (F),Temp_Beta (C)
0.0,09-18-2025 12:52:53,2.8483,13237.5752,291.9,65.7,18.72,291.97,65.87,18.82
0.02,09-18-2025 12:52:54,5.0044,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
0.03,09-18-2025 12:52:55,3.1001,16317.5209,287.3,57.55,14.19,287.52,57.87,14.37
0.05,09-18-2025 12:52:56,0.1241,254.5697,409.7,277.73,136.52,412.42,282.69,139.27
0.07,09-18-2025 12:52:57,2.6212,11019.443,296.0,73.04,22.8,295.98,73.1,22.83
0.09,09-18-2025 12:52:59,1.8945,6100.4669,309.8,97.97,36.65,309.7,97.8,36.55
0.11,09-18-2025 12:53:00,1.7226,5255.821,313.5,104.59,40.33,313.36,104.39,40.21
0.12,09-18-2025 12:53:01,0.6189,1412.7566,349.6,169.53,76.4,349.83,170.02,76.68
0.14,09-18-2025 12:53:02,3.3127,19634.0199,283.4,50.51,10.28,283.7,50.99,10.55
0.16,09-18-2025 12:53:03,3.417,21585.597,281.5,46.97,8.32,281.78,47.54,8.63
0.18,09-18-2025 12:53:04,5.6882,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
0.19,09-18-2025 12:53:05,1.6298,4835.6947,315.6,108.34,42.41,315.45,108.14,42.3
0.21,09-18-2025 12:53:06,1.8242,5744.0025,311.3,100.63,38.13,311.17,100.44,38.02
0.23,09-18-2025 12:53:07,5.6989,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
0.24,09-18-2025 12:53:08,5.9828,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
0.26,09-18-2025 12:53:09,1.1921,3130.6831,326.9,128.69,53.72,326.8,128.56,53.65
0.28,09-18-2025 12:53:10,4.1798,50957.0253,264.7,16.72,-8.49,265.51,18.26,-7.64
0.3,09-18-2025 12:53:11,4.7631,201026.1145,241.1,-25.7,-32.05,243.09,-22.11,-30.06
0.31,09-18-2025 12:53:12,1.6108,4752.7984,316.0,109.13,42.85,315.89,108.92,42.74
0.33,09-18-2025 12:53:13,2.6271,11070.93,295.8,72.85,22.7,295.88,72.91,22.73
0.35,09-18-2025 12:53:15,0.5297,1184.9004,355.0,179.26,81.81,355.36,179.98,82.21
