Elapsed Time (min),Date,Voltage (V),R_therm (Ohms),Temp_SH (K),Temp_SH (°F),Temp_SH (°C),Temp_Beta (K),Temp_Beta (°F),Temp_Beta (°C)
0.0,09-18-2025 01:14:09,5.6679,inf,0.0,32.0,-273.15,0.0,32.0,-273.15
0.02,09-18-2025 01:14:09,5.9977,inf,0.0,32.0,-273.15,0.0,32.0,-273.15
0.04,09-18-2025 01:14:12,3.6426,26834.1,277.04,530.67,3.89,277.48,531.46,4.33
0.06,09-18-2025 01:14:12,2.9494,14382.8,290.06,554.11,16.91,290.19,554.34,17.04
0.09,09-18-2025 01:14:14,4.6597,136950.8,247.32,477.18,-25.83,248.97,480.14,-24.18
0.1,09-18-2025 01:14:14,5.2524,inf,0.0,32.0,-273.15,0.0,32.0,-273.15
0.13,09-18-2025 01:14:17,0.0079,15.8,562.81,1045.06,289.66,581.19,1078.14,308.04
0.15,09-18-2025 01:14:17,4.4947,88960.9,254.65,490.37,-18.5,255.93,492.67,-17.22
0.17,09-18-2025 01:14:20,2.0631,7024.5,306.4,583.51,33.25,306.32,583.37,33.17
0.19,09-18-2025 01:14:20,5.643,inf,0.0,32.0,-273.15,0.0,32.0,-273.15
0.22,09-18-2025 01:14:22,3.3107,19597.8,283.47,542.25,10.32,283.74,542.73,10.59
0.23,09-18-2025 01:14:22,2.607,10894.3,296.21,565.17,23.06,296.23,565.22,23.08
0.26,09-18-2025 01:14:25,5.4654,inf,0.0,32.0,-273.15,0.0,32.0,-273.15
0.28,09-18-2025 01:14:25,2.6606,11373.2,295.24,563.43,22.09,295.28,563.51,22.13
0.3,09-18-2025 01:14:27,1.7543,5404.8,312.78,595.0,39.63,312.67,594.81,39.52
0.32,09-18-2025 01:14:27,1.6125,4760.1,315.96,600.73,42.81,315.85,600.52,42.7
0.34,09-18-2025 01:14:30,5.4225,inf,0.0,32.0,-273.15,0.0,32.0,-273.15
0.36,09-18-2025 01:14:30,5.4664,inf,0.0,32.0,-273.15,0.0,32.0,-273.15
